method,split,stress_level,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
causal_event_graph_credit,stress_01,0.11111,1,48,0.69097,0.04764,0.58333,0.06452,0.52431,0.04862,0.03472,0.01935,0.17708,0.04998,0.01736,0.01751,0.12500,0.03574,0.42708,0.06144,0.56133,0.01289,0.00314,0.00057,0.21349,0.00483,0.39927,0.06378
causal_event_graph_credit,stress_01,0.11111,2,48,0.72222,0.04991,0.55208,0.05515,0.50347,0.06034,0.03125,0.01860,0.16319,0.04403,0.02778,0.01776,0.11458,0.03528,0.39583,0.06199,0.56242,0.01250,0.00311,0.00058,0.21366,0.00500,0.43285,0.06320
causal_event_graph_credit,stress_01,0.11111,3,48,0.66319,0.05192,0.50694,0.05234,0.53125,0.06991,0.05556,0.02448,0.19097,0.04561,0.03819,0.02226,0.06944,0.02349,0.44444,0.05531,0.56179,0.01268,0.00313,0.00057,0.21312,0.00501,0.36711,0.06084
causal_event_graph_credit,stress_01,0.11111,4,48,0.72569,0.05100,0.52083,0.05556,0.48958,0.05949,0.04861,0.02566,0.21181,0.04321,0.02431,0.01682,0.08333,0.03369,0.42361,0.05584,0.56247,0.01329,0.00316,0.00058,0.21591,0.00481,0.43075,0.06033
causal_event_graph_credit,stress_01,0.11111,5,48,0.67014,0.04813,0.55556,0.06549,0.49306,0.06071,0.03472,0.01935,0.19792,0.04830,0.04514,0.02330,0.10069,0.03734,0.48958,0.06481,0.56218,0.01300,0.00316,0.00059,0.21433,0.00487,0.35406,0.06090
causal_event_graph_credit,stress_01,0.11111,6,48,0.73958,0.04340,0.52083,0.06045,0.53819,0.06321,0.04167,0.02281,0.21528,0.05584,0.01389,0.01317,0.09375,0.03755,0.41667,0.05054,0.56058,0.01279,0.00315,0.00056,0.21365,0.00500,0.45182,0.06152
causal_event_graph_credit,stress_01,0.11111,7,48,0.72569,0.05006,0.55903,0.05875,0.53472,0.04761,0.04861,0.02374,0.20139,0.04761,0.02431,0.01682,0.12153,0.03605,0.44097,0.06632,0.56212,0.01285,0.00306,0.00052,0.21416,0.00444,0.41151,0.06454
causal_event_graph_credit,stress_01,0.11111,8,48,0.70486,0.04886,0.54167,0.06113,0.50000,0.05836,0.04861,0.02566,0.18750,0.03966,0.01389,0.01317,0.06944,0.03201,0.36458,0.05643,0.56198,0.01272,0.00322,0.00061,0.21290,0.00487,0.44027,0.05958
causal_event_graph_credit,stress_01,0.11111,9,48,0.68056,0.04748,0.54167,0.05283,0.45833,0.05876,0.05556,0.02246,0.22222,0.05085,0.02778,0.02025,0.07986,0.02916,0.40972,0.05992,0.56188,0.01300,0.00304,0.00056,0.21579,0.00487,0.37634,0.06193
causal_event_graph_credit,stress_02,0.22222,0,48,0.74653,0.04958,0.51389,0.05740,0.49306,0.06875,0.04167,0.02664,0.18056,0.04847,0.03819,0.02226,0.11111,0.03809,0.37847,0.06284,0.58427,0.01390,0.00832,0.00197,0.22247,0.00504,0.43164,0.06204
causal_event_graph_credit,stress_02,0.22222,1,48,0.66319,0.05458,0.49306,0.05050,0.50000,0.06668,0.05556,0.02634,0.19097,0.04764,0.04167,0.02480,0.08333,0.03076,0.41667,0.05327,0.58353,0.01410,0.00815,0.00198,0.22175,0.00495,0.35080,0.06057
causal_event_graph_credit,stress_02,0.22222,2,48,0.69444,0.05782,0.49306,0.04558,0.48958,0.05622,0.06597,0.02875,0.22222,0.03931,0.02431,0.01943,0.07986,0.03505,0.39583,0.05886,0.58359,0.01463,0.00847,0.00199,0.22370,0.00475,0.38514,0.06752
causal_event_graph_credit,stress_02,0.22222,3,48,0.65625,0.05622,0.54167,0.06113,0.48958,0.05869,0.04514,0.02117,0.23611,0.04545,0.05208,0.02602,0.09028,0.03634,0.44792,0.06008,0.58389,0.01427,0.00839,0.00200,0.22397,0.00472,0.31406,0.07036
causal_event_graph_credit,stress_02,0.22222,4,48,0.72917,0.04924,0.49653,0.06265,0.54514,0.06359,0.04861,0.02374,0.23611,0.05573,0.01736,0.01456,0.09722,0.03991,0.42014,0.05835,0.58227,0.01401,0.00860,0.00198,0.22302,0.00487,0.41944,0.07075
causal_event_graph_credit,stress_02,0.22222,5,48,0.70833,0.04912,0.53472,0.06225,0.53125,0.04731,0.05556,0.02808,0.24653,0.04764,0.03125,0.01860,0.10069,0.03734,0.40625,0.06221,0.58408,0.01415,0.00827,0.00191,0.22298,0.00455,0.37321,0.06261
causal_event_graph_credit,stress_02,0.22222,6,48,0.68750,0.04827,0.52083,0.05383,0.50694,0.05832,0.04861,0.02374,0.17708,0.04173,0.03125,0.02509,0.06944,0.03201,0.36806,0.05498,0.58431,0.01403,0.00846,0.00204,0.22164,0.00482,0.40420,0.06889
causal_event_graph_credit,stress_02,0.22222,7,48,0.66319,0.05629,0.52778,0.05177,0.44444,0.05444,0.05208,0.02209,0.24306,0.05234,0.03472,0.02374,0.09722,0.03201,0.43056,0.06291,0.58348,0.01418,0.00835,0.00196,0.22369,0.00509,0.32961,0.06849
causal_event_graph_credit,stress_02,0.22222,8,48,0.69097,0.05414,0.50694,0.05412,0.49306,0.05498,0.02778,0.01776,0.21181,0.05214,0.04514,0.02525,0.06250,0.02307,0.41319,0.04958,0.58438,0.01414,0.00827,0.00193,0.22360,0.00447,0.39211,0.06799
causal_event_graph_credit,stress_02,0.22222,9,48,0.73264,0.05304,0.48958,0.05949,0.54514,0.05565,0.03819,0.02617,0.19792,0.04630,0.02778,0.02025,0.09028,0.03501,0.43403,0.05123,0.58351,0.01411,0.00857,0.00205,0.22266,0.00483,0.43661,0.06406
causal_event_graph_credit,stress_03,0.33333,0,48,0.67708,0.05949,0.50000,0.05238,0.48958,0.06106,0.06944,0.02891,0.25694,0.04122,0.01736,0.01456,0.10417,0.03456,0.38194,0.06449,0.60536,0.01548,0.01678,0.00319,0.23162,0.00458,0.33995,0.07282
causal_event_graph_credit,stress_03,0.33333,1,48,0.64931,0.05691,0.51736,0.05169,0.45486,0.05650,0.04861,0.02166,0.25000,0.04665,0.04167,0.02063,0.09028,0.03634,0.41319,0.04958,0.60622,0.01556,0.01669,0.00321,0.23171,0.00455,0.30684,0.07119
causal_event_graph_credit,stress_03,0.33333,2,48,0.69792,0.04830,0.48958,0.05869,0.50347,0.06488,0.06944,0.02722,0.25347,0.05501,0.02778,0.01776,0.11111,0.04386,0.40972,0.05234,0.60415,0.01513,0.01679,0.00317,0.23137,0.00465,0.34667,0.07379
causal_event_graph_credit,stress_03,0.33333,3,48,0.68403,0.04587,0.51736,0.06469,0.51736,0.06015,0.05903,0.03150,0.24653,0.04664,0.04861,0.02744,0.09028,0.02911,0.40972,0.06148,0.60577,0.01539,0.01648,0.00318,0.23096,0.00445,0.33047,0.06103
causal_event_graph_credit,stress_03,0.33333,4,48,0.67014,0.04613,0.51042,0.05184,0.48958,0.05787,0.05556,0.02634,0.17014,0.04509,0.02778,0.02025,0.07292,0.02903,0.39236,0.06034,0.60614,0.01540,0.01680,0.00332,0.23039,0.00457,0.38392,0.06725
causal_event_graph_credit,stress_03,0.33333,5,48,0.67708,0.04998,0.51042,0.04173,0.44792,0.06086,0.05903,0.02662,0.24653,0.05414,0.04861,0.02566,0.13194,0.03501,0.40278,0.05313,0.60607,0.01554,0.01654,0.00321,0.23237,0.00497,0.29764,0.05795
causal_event_graph_credit,stress_03,0.33333,6,48,0.71875,0.05252,0.51389,0.05657,0.46181,0.05608,0.04514,0.02117,0.24653,0.05586,0.04514,0.02706,0.09375,0.03061,0.39583,0.05470,0.60595,0.01544,0.01651,0.00315,0.23132,0.00440,0.37349,0.07112
causal_event_graph_credit,stress_03,0.33333,7,48,0.71528,0.05324,0.47917,0.05470,0.49306,0.06148,0.04514,0.02525,0.23958,0.05138,0.02778,0.01776,0.10417,0.03966,0.44792,0.05515,0.60480,0.01526,0.01680,0.00320,0.23067,0.00469,0.38574,0.06837
causal_event_graph_credit,stress_03,0.33333,8,48,0.69444,0.05085,0.49306,0.04956,0.47569,0.05915,0.05556,0.02246,0.21528,0.04956,0.01389,0.01317,0.10764,0.03572,0.34028,0.05143,0.60532,0.01555,0.01700,0.00321,0.23106,0.00450,0.38314,0.05855
causal_event_graph_credit,stress_03,0.33333,9,48,0.68403,0.06093,0.51389,0.06139,0.50000,0.05671,0.05556,0.02808,0.25694,0.04660,0.04167,0.02063,0.09722,0.03201,0.43403,0.05895,0.60680,0.01523,0.01696,0.00327,0.23187,0.00449,0.33089,0.07270
causal_event_graph_credit,stress_04,0.44444,0,48,0.68056,0.05573,0.44444,0.05943,0.48611,0.05657,0.09028,0.03220,0.25000,0.05502,0.03472,0.01935,0.10764,0.03828,0.39236,0.05629,0.62603,0.01638,0.02768,0.00363,0.23966,0.00446,0.31091,0.07941
causal_event_graph_credit,stress_04,0.44444,1,48,0.68056,0.05313,0.47917,0.06199,0.48611,0.05573,0.07639,0.03220,0.25347,0.04561,0.05903,0.03150,0.09028,0.03220,0.40278,0.06440,0.62751,0.01668,0.02743,0.00364,0.23951,0.00445,0.29993,0.07210
causal_event_graph_credit,stress_04,0.44444,2,48,0.65972,0.04761,0.50694,0.05412,0.48264,0.05436,0.06250,0.02686,0.17014,0.04182,0.03819,0.02226,0.08681,0.03368,0.36806,0.05668,0.62783,0.01644,0.02778,0.00375,0.23881,0.00452,0.34575,0.06723
causal_event_graph_credit,stress_04,0.44444,3,48,0.67361,0.04956,0.49653,0.04068,0.42708,0.05494,0.05903,0.02834,0.25694,0.04761,0.05208,0.02778,0.14583,0.04198,0.40278,0.05401,0.62691,0.01685,0.02772,0.00371,0.23964,0.00481,0.27313,0.06407
causal_event_graph_credit,stress_04,0.44444,4,48,0.69444,0.05177,0.53472,0.05832,0.43403,0.05480,0.03819,0.02003,0.25000,0.06151,0.04167,0.02664,0.10417,0.03720,0.35417,0.05640,0.62736,0.01678,0.02757,0.00358,0.23916,0.00453,0.34411,0.06631
causal_event_graph_credit,stress_04,0.44444,5,48,0.69444,0.05699,0.48264,0.06170,0.47917,0.07123,0.05208,0.02943,0.25694,0.05050,0.02431,0.01682,0.11806,0.03885,0.43056,0.06291,0.62683,0.01656,0.02790,0.00365,0.23943,0.00474,0.34507,0.06629
causal_event_graph_credit,stress_04,0.44444,6,48,0.68403,0.04886,0.45486,0.05030,0.47222,0.05616,0.07639,0.02744,0.22917,0.04728,0.01389,0.01317,0.09722,0.03050,0.35417,0.05294,0.62711,0.01673,0.02783,0.00368,0.23927,0.00413,0.35899,0.05594
causal_event_graph_credit,stress_04,0.44444,7,48,0.68750,0.05723,0.52431,0.06596,0.47569,0.05671,0.05903,0.02834,0.28125,0.04780,0.04167,0.02063,0.10069,0.03472,0.42708,0.05909,0.62863,0.01662,0.02809,0.00371,0.23967,0.00446,0.31595,0.07287
causal_event_graph_credit,stress_04,0.44444,8,48,0.66667,0.06525,0.47917,0.05723,0.40625,0.06371,0.05556,0.02808,0.29167,0.05192,0.05208,0.02602,0.07639,0.03220,0.36806,0.04956,0.62765,0.01641,0.02728,0.00364,0.23968,0.00488,0.29624,0.08222
causal_event_graph_credit,stress_04,0.44444,9,48,0.66667,0.05836,0.55556,0.06621,0.40972,0.05584,0.06250,0.02503,0.21875,0.05429,0.03819,0.02226,0.07986,0.03766,0.40972,0.06071,0.62638,0.01664,0.02740,0.00358,0.23852,0.00426,0.33685,0.07949
causal_event_graph_credit,stress_05,0.55556,0,48,0.66319,0.05544,0.48611,0.05903,0.45833,0.05192,0.08333,0.02918,0.18403,0.03670,0.03819,0.02226,0.11806,0.03885,0.38194,0.05498,0.64992,0.01775,0.03920,0.00404,0.24627,0.00455,0.30957,0.07305
causal_event_graph_credit,stress_05,0.55556,1,48,0.65278,0.05313,0.48611,0.04847,0.45139,0.05143,0.05208,0.03100,0.25694,0.04345,0.04167,0.02664,0.14931,0.04789,0.40625,0.05664,0.64905,0.01812,0.03937,0.00394,0.24741,0.00495,0.26046,0.06925
causal_event_graph_credit,stress_05,0.55556,2,48,0.71875,0.04780,0.52431,0.04958,0.43403,0.05393,0.04861,0.02911,0.28472,0.06148,0.04861,0.02566,0.10417,0.03590,0.33681,0.05955,0.64911,0.01804,0.03903,0.00387,0.24698,0.00454,0.33680,0.06651
causal_event_graph_credit,stress_05,0.55556,3,48,0.70139,0.05412,0.45833,0.05876,0.45486,0.06860,0.06250,0.03170,0.24653,0.04862,0.03125,0.01860,0.13194,0.03634,0.43403,0.05650,0.64855,0.01788,0.03934,0.00394,0.24677,0.00454,0.33075,0.05629
causal_event_graph_credit,stress_05,0.55556,4,48,0.67708,0.05363,0.46181,0.04886,0.46181,0.05259,0.07986,0.02916,0.25000,0.05054,0.02431,0.01943,0.09722,0.03201,0.31597,0.05608,0.64850,0.01802,0.03917,0.00391,0.24736,0.00459,0.32584,0.05509
causal_event_graph_credit,stress_05,0.55556,5,48,0.66667,0.05238,0.47569,0.05501,0.46181,0.05935,0.07986,0.03224,0.29861,0.04956,0.05208,0.02602,0.12153,0.03605,0.44792,0.05161,0.65000,0.01765,0.03944,0.00393,0.24762,0.00461,0.24912,0.07192
causal_event_graph_credit,stress_05,0.55556,6,48,0.65278,0.06366,0.47222,0.06022,0.39931,0.06054,0.07986,0.03224,0.29167,0.05459,0.05903,0.02996,0.08333,0.03369,0.33333,0.04765,0.64969,0.01786,0.03878,0.00393,0.24737,0.00500,0.25429,0.07912
causal_event_graph_credit,stress_05,0.55556,7,48,0.67361,0.05832,0.52431,0.06073,0.42014,0.05326,0.07986,0.02916,0.26736,0.05650,0.03819,0.02226,0.08681,0.03505,0.39236,0.05955,0.64841,0.01780,0.03900,0.00388,0.24669,0.00437,0.30629,0.08054
causal_event_graph_credit,stress_05,0.55556,8,48,0.65625,0.05949,0.46528,0.05498,0.45139,0.05412,0.09028,0.03634,0.26736,0.05480,0.02778,0.01776,0.11806,0.04558,0.33333,0.04863,0.64824,0.01793,0.03930,0.00395,0.24599,0.00485,0.27601,0.06681
causal_event_graph_credit,stress_05,0.55556,9,48,0.67708,0.06183,0.49653,0.04813,0.44792,0.06679,0.05903,0.02834,0.19444,0.04596,0.04167,0.02664,0.12847,0.03539,0.32986,0.05544,0.64877,0.01827,0.03909,0.00395,0.24682,0.00497,0.32067,0.08068
causal_event_graph_credit,stress_06,0.66667,0,48,0.71875,0.04578,0.50000,0.04765,0.39583,0.05112,0.06597,0.03187,0.30208,0.06047,0.04861,0.02744,0.10069,0.03605,0.33681,0.05955,0.67058,0.01914,0.05048,0.00415,0.25507,0.00499,0.31897,0.07169
causal_event_graph_credit,stress_06,0.66667,1,48,0.68403,0.06321,0.47569,0.05501,0.43056,0.06797,0.07292,0.03627,0.23958,0.05407,0.03472,0.02166,0.14236,0.04238,0.43056,0.05740,0.67071,0.01916,0.05083,0.00424,0.25549,0.00463,0.29656,0.07061
causal_event_graph_credit,stress_06,0.66667,2,48,0.65972,0.05584,0.41667,0.05587,0.42014,0.05146,0.07986,0.03074,0.24653,0.04764,0.03125,0.02313,0.11111,0.03552,0.34028,0.05050,0.66993,0.01948,0.05070,0.00416,0.25489,0.00463,0.28934,0.06157
causal_event_graph_credit,stress_06,0.66667,3,48,0.67708,0.04500,0.48611,0.05488,0.46528,0.05584,0.07639,0.02911,0.29514,0.05349,0.04167,0.02281,0.13542,0.04312,0.39583,0.04827,0.67190,0.01868,0.05094,0.00417,0.25548,0.00495,0.26109,0.05945
causal_event_graph_credit,stress_06,0.66667,4,48,0.66667,0.05671,0.47222,0.05863,0.42361,0.06300,0.09375,0.03494,0.29861,0.05832,0.07292,0.03061,0.08681,0.03224,0.32639,0.04859,0.67173,0.01926,0.05037,0.00422,0.25476,0.00509,0.23672,0.07285
causal_event_graph_credit,stress_06,0.66667,5,48,0.66667,0.05996,0.49653,0.05629,0.39583,0.05019,0.07639,0.03069,0.29861,0.04859,0.03125,0.01860,0.09028,0.03363,0.36458,0.05297,0.67033,0.01896,0.05035,0.00416,0.25481,0.00447,0.28896,0.08319
causal_event_graph_credit,stress_06,0.66667,6,48,0.66319,0.06034,0.45486,0.05975,0.44097,0.05282,0.09375,0.03627,0.26042,0.05045,0.04514,0.02330,0.11111,0.04049,0.32639,0.04558,0.66957,0.01948,0.05064,0.00419,0.25429,0.00516,0.26510,0.06771
causal_event_graph_credit,stress_06,0.66667,7,48,0.67014,0.05100,0.46875,0.05643,0.41319,0.06073,0.05903,0.02662,0.20833,0.04404,0.03819,0.02430,0.14583,0.04198,0.33333,0.05147,0.67048,0.01954,0.05041,0.00426,0.25465,0.00519,0.29656,0.06516
causal_event_graph_credit,stress_06,0.66667,8,48,0.68056,0.03870,0.42708,0.04951,0.43750,0.05470,0.07292,0.03212,0.22569,0.04813,0.06597,0.02706,0.11458,0.03249,0.35764,0.05501,0.67134,0.01938,0.05060,0.00422,0.25591,0.00498,0.28169,0.05172
causal_event_graph_credit,stress_06,0.66667,9,48,0.59375,0.06296,0.49653,0.04509,0.44792,0.06008,0.09028,0.03762,0.19792,0.04201,0.04167,0.02281,0.10764,0.03572,0.32986,0.04613,0.67033,0.01957,0.05059,0.00416,0.25431,0.00523,0.22942,0.07203
causal_event_graph_credit,stress_07,0.77778,0,48,0.67361,0.05143,0.37847,0.05565,0.40625,0.05229,0.09028,0.03501,0.23958,0.05229,0.03819,0.02430,0.13194,0.03885,0.37500,0.05283,0.69192,0.02062,0.06197,0.00443,0.26296,0.00496,0.27617,0.06435
causal_event_graph_credit,stress_07,0.77778,1,48,0.66319,0.04613,0.48264,0.04587,0.45833,0.05459,0.07292,0.02903,0.28472,0.05751,0.03819,0.02226,0.12847,0.03920,0.36458,0.05022,0.69359,0.02003,0.06225,0.00449,0.26276,0.00513,0.25699,0.06189
causal_event_graph_credit,stress_07,0.77778,2,48,0.66667,0.05327,0.44444,0.06403,0.39236,0.05955,0.09375,0.03494,0.30208,0.05889,0.07986,0.03368,0.09028,0.03501,0.29167,0.04814,0.69324,0.02080,0.06194,0.00449,0.26255,0.00526,0.22110,0.07005
causal_event_graph_credit,stress_07,0.77778,3,48,0.65278,0.05573,0.46528,0.05668,0.40972,0.05584,0.07639,0.02744,0.29514,0.05774,0.02778,0.01776,0.07639,0.02911,0.33681,0.05629,0.69200,0.02028,0.06179,0.00443,0.26269,0.00461,0.28457,0.07807
causal_event_graph_credit,stress_07,0.77778,4,48,0.66667,0.05415,0.44444,0.05616,0.42361,0.05324,0.09028,0.04005,0.27431,0.05712,0.05208,0.02413,0.10764,0.03828,0.30903,0.05053,0.69162,0.02088,0.06220,0.00451,0.26251,0.00534,0.25446,0.06338
causal_event_graph_credit,stress_07,0.77778,5,48,0.63194,0.05234,0.44097,0.05458,0.38542,0.05161,0.07292,0.03061,0.26389,0.04648,0.05556,0.02634,0.13889,0.04698,0.32639,0.05324,0.69252,0.02072,0.06174,0.00453,0.26343,0.00529,0.20915,0.07851
causal_event_graph_credit,stress_07,0.77778,6,48,0.68056,0.04221,0.43403,0.05733,0.42708,0.05319,0.08333,0.03076,0.18750,0.03720,0.05903,0.02662,0.11111,0.03274,0.37153,0.05774,0.69415,0.02057,0.06207,0.00452,0.26388,0.00515,0.29796,0.05338
causal_event_graph_credit,stress_07,0.77778,7,48,0.62500,0.05459,0.47222,0.05177,0.42014,0.05753,0.11806,0.04005,0.21875,0.04257,0.05556,0.02634,0.11806,0.03363,0.33333,0.04010,0.69185,0.02082,0.06204,0.00445,0.26175,0.00566,0.21249,0.06518
causal_event_graph_credit,stress_07,0.77778,8,48,0.70486,0.05076,0.43056,0.06291,0.40625,0.06144,0.06597,0.02525,0.25347,0.05671,0.05208,0.02602,0.09722,0.03201,0.37500,0.06035,0.69348,0.02043,0.06213,0.00458,0.26190,0.00521,0.31924,0.07879
causal_event_graph_credit,stress_07,0.77778,9,48,0.67014,0.05282,0.45833,0.05713,0.38889,0.06403,0.07639,0.02911,0.30556,0.05531,0.05903,0.02478,0.15625,0.04706,0.36111,0.04798,0.69343,0.02072,0.06185,0.00447,0.26286,0.00530,0.21344,0.07221
causal_event_graph_credit,stress_08,0.88889,0,48,0.69444,0.05268,0.42708,0.06371,0.35764,0.05326,0.11111,0.03809,0.27778,0.05357,0.05903,0.02834,0.10417,0.03845,0.26389,0.05038,0.71471,0.02198,0.07345,0.00473,0.27003,0.00548,0.26070,0.07252
causal_event_graph_credit,stress_08,0.88889,1,48,0.64236,0.05146,0.40278,0.05313,0.40972,0.05498,0.06250,0.02856,0.30208,0.05558,0.05208,0.02413,0.09722,0.03346,0.34722,0.05223,0.71433,0.02154,0.07325,0.00467,0.26975,0.00487,0.23376,0.07367
causal_event_graph_credit,stress_08,0.88889,2,48,0.62847,0.05259,0.44097,0.05458,0.42014,0.05146,0.08333,0.04010,0.29514,0.05349,0.06597,0.02875,0.09375,0.03212,0.34028,0.05992,0.71357,0.02198,0.07335,0.00473,0.27115,0.00555,0.19978,0.06535
causal_event_graph_credit,stress_08,0.88889,3,48,0.63889,0.05085,0.43056,0.05401,0.35764,0.05326,0.09722,0.03746,0.27431,0.05629,0.07292,0.03212,0.15972,0.04660,0.31250,0.05383,0.71398,0.02190,0.07325,0.00478,0.27103,0.00518,0.16368,0.07958
causal_event_graph_credit,stress_08,0.88889,4,48,0.66667,0.04959,0.42708,0.05988,0.41319,0.05053,0.11458,0.03391,0.17708,0.03692,0.04861,0.02566,0.13889,0.03552,0.37153,0.05608,0.71570,0.02169,0.07341,0.00474,0.27170,0.00549,0.26332,0.06398
causal_event_graph_credit,stress_08,0.88889,5,48,0.61806,0.04956,0.45139,0.05234,0.40972,0.05234,0.11806,0.04005,0.24306,0.05412,0.06597,0.03035,0.13889,0.03682,0.34375,0.05184,0.71344,0.02214,0.07338,0.00473,0.26931,0.00577,0.16660,0.07216
causal_event_graph_credit,stress_08,0.88889,6,48,0.69444,0.05357,0.42708,0.04756,0.38194,0.05992,0.10069,0.03472,0.27778,0.05531,0.03819,0.02003,0.10764,0.03572,0.37500,0.05795,0.71492,0.02182,0.07335,0.00478,0.26947,0.00551,0.28644,0.07179
causal_event_graph_credit,stress_08,0.88889,7,48,0.64931,0.05169,0.43750,0.05470,0.39236,0.05794,0.09028,0.03501,0.30903,0.05414,0.05903,0.02478,0.17014,0.05100,0.34028,0.04660,0.71586,0.02209,0.07325,0.00469,0.27025,0.00547,0.17137,0.08270
causal_event_graph_credit,stress_08,0.88889,8,48,0.62153,0.04739,0.44792,0.05684,0.40972,0.06148,0.09375,0.03627,0.23611,0.04545,0.05556,0.02634,0.12153,0.04210,0.34375,0.04706,0.71286,0.02180,0.07330,0.00473,0.27042,0.00509,0.20698,0.07479
causal_event_graph_credit,stress_08,0.88889,9,48,0.63889,0.05531,0.45833,0.04814,0.36111,0.05616,0.07292,0.02556,0.26389,0.05223,0.04514,0.02706,0.13194,0.03762,0.32292,0.05451,0.71591,0.02143,0.07339,0.00477,0.27012,0.00592,0.22718,0.07832
causal_event_graph_credit,stress_09,1.00000,0,48,0.61458,0.05069,0.44097,0.05794,0.40625,0.05229,0.09375,0.03879,0.30903,0.04764,0.06944,0.02891,0.10069,0.03035,0.31944,0.05038,0.73506,0.02300,0.08424,0.00482,0.27783,0.00579,0.16262,0.07072
causal_event_graph_credit,stress_09,1.00000,1,48,0.63889,0.05268,0.41667,0.06303,0.32986,0.04911,0.09375,0.03627,0.30903,0.05915,0.06944,0.02891,0.16319,0.04182,0.32292,0.06106,0.73540,0.02266,0.08424,0.00486,0.27784,0.00529,0.14813,0.07666
causal_event_graph_credit,stress_09,1.00000,2,48,0.64931,0.04789,0.39583,0.06199,0.34722,0.04944,0.11458,0.03787,0.20139,0.03885,0.05903,0.02996,0.14583,0.03590,0.37847,0.05393,0.73704,0.02261,0.08426,0.00484,0.27905,0.00550,0.21571,0.07111
